place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
1,1,1,1.0,2021,23.0,2.0,2.0,1.0,4,1.0,1.0,1.0,50.0,30,3,1,72,72181,2,2,0.0,3.0,47.99075,0.20765,13,2,2
1,1,1,0.0,2021,46.0,4.0,2.0,1.0,1,3.0,2.0,1.0,130.0,10,3,3,95,95580,1,1,1.0,2.0,49.0834667578,2.5513659504,22,2,2
1,1,1,2.0,2021,54.0,1.0,0.0,1.0,4,1.0,1.0,1.0,50.0,25,4,1,22,22278,2,7,0.0,7.0,48.5065809746,-2.7506750819,15,1,1
1,1,1,1.0,2021,35.0,2.0,0.0,1.0,3,2.0,1.0,3.0,50.0,28,8,3,32,32118,2,1,0.0,6.0,43.533768,0.577195,22,1,1
1,1,1,2.0,2021,39.0,1.0,2.0,3.0,3,2.0,1.0,1.0,70.0,28,3,1,44,44158,1,1,0.0,6.0,47.261692,-1.761643,18,2,2
1,1,1,2.0,2021,34.0,1.0,2.0,1.0,4,3.0,1.0,1.0,50.0,24,8,1,17,17300,2,1,0.0,2.0,46.16795,-1.13276,8,2,2
10,3,1,0.0,2021,17.0,5.0,1.0,1.0,7,2.0,2.0,1.0,50.0,25,11,1,69,69286,2,3,1.0,6.0,45.81917,4.89359,12,2,1
10,3,1,0.0,2021,5.0,2.0,1.0,1.0,3,2.0,1.0,1.0,50.0,19,5,1,93,93006,2,1,0.0,3.0,48.87236,2.42851,19,2,1
1,1,1,2.0,2021,14.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,20,10,1,73,73179,1,1,0.0,1.0,45.588016,5.842125,13,2,2
1,1,1,1.0,2021,49.0,2.0,2.0,1.0,1,3.0,1.0,1.0,130.0,8,11,2,79,79189,1,1,0.0,5.0,46.408274,-0.144539,7,5,5
1,1,2,1.0,2021,30.0,2.0,2.0,1.0,3,2.0,1.0,1.0,90.0,19,11,1,95,95149,1,1,0.0,3.0,49.133767,2.435253,16,3,2
1,1,1,2.0,2021,20.0,1.0,2.0,3.0,4,2.0,1.0,1.0,50.0,16,10,5,37,37261,2,1,0.0,6.0,47.4220156382,0.7050404325,20,3,2
1,1,1,1.0,2021,28.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,17,4,1,66,66136,2,3,0.0,3.0,42.68463,2.88208,12,2,2
10,3,1,0.0,2021,86.0,2.0,1.0,1.0,3,2.0,1.0,1.0,80.0,23,8,1,4,4242,1,1,0.0,6.0,43.8824729071,5.8563303487,7,2,1
1,1,1,2.0,2021,27.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,1,8,1,30,30189,2,4,0.0,1.0,43.8306,4.3691,7,2,2
1,1,1,2.0,2021,39.0,1.0,2.0,1.0,1,3.0,1.0,1.0,90.0,12,9,1,94,94042,1,1,0.0,2.0,48.8277250304,2.4703252316,19,2,2
10,3,1,0.0,2021,84.0,5.0,1.0,1.0,4,1.0,2.0,1.0,30.0,29,12,1,75,75120,2,4,1.0,6.0,48.864166,2.399893,9,2,1
1,1,1,1.0,2021,53.0,4.0,2.0,1.0,3,2.0,1.0,1.0,80.0,5,3,1,62,62481,1,1,0.0,2.0,50.283499,1.989985,16,2,2
10,3,2,0.0,2021,56.0,2.0,1.0,1.0,4,1.0,1.0,1.0,30.0,19,9,1,92,92073,2,1,0.0,6.0,48.864888,2.209948,8,2,1
1,1,2,1.0,2021,19.0,2.0,2.0,1.0,4,1.0,1.0,1.0,50.0,9,8,1,94,94077,2,1,0.0,2.0,48.72843,2.432,9,2,2
1,1,1,8.0,2021,15.0,1.0,2.0,3.0,4,3.0,1.0,1.0,50.0,18,6,1,37,37208,2,2,0.0,6.0,47.3562944971,0.7271414995,17,2,2
1,1,2,1.0,2021,49.0,2.0,2.0,1.0,1,3.0,2.0,1.0,70.0,30,10,1,49,49267,2,1,0.0,4.0,47.4663,-0.51626,13,6,3
1,1,1,1.0,2021,21.0,2.0,0.0,1.0,3,2.0,1.0,3.0,70.0,20,11,3,35,35132,1,2,1.0,6.0,48.573328,-1.798131,7,1,1
